"prot_id" "length" "nr_p"
"1" "ENSP00000000233" 180 4
"2" "ENSP00000000412" 277 8
"3" "ENSP00000001008" 459 16
"4" "ENSP00000001146" 512 22
"5" "ENSP00000002125" 441 25
"6" "ENSP00000002165" 467 32
"7" "ENSP00000002596" 307 22
"8" "ENSP00000002829" 785 63
"9" "ENSP00000003084" 1480 45
"10" "ENSP00000003100" 509 28
"11" "ENSP00000003302" 1077 52
"12" "ENSP00000004531" 698 33
"13" "ENSP00000005178" 411 24
"14" "ENSP00000005226" 899 81
"15" "ENSP00000005257" 206 3
"16" "ENSP00000005260" 511 35
"17" "ENSP00000005284" 315 12
"18" "ENSP00000005286" 1024 103
"19" "ENSP00000005340" 736 82
"20" "ENSP00000005386" 665 31
"21" "ENSP00000005587" 359 22
"22" "ENSP00000005995" 314 21
"23" "ENSP00000006015" 313 25
"24" "ENSP00000006053" 397 40
"25" "ENSP00000006275" 173 9
"26" "ENSP00000006526" 334 18
"27" "ENSP00000006658" 802 49
"28" "ENSP00000006724" 265 18
"29" "ENSP00000006777" 364 34
"30" "ENSP00000007390" 312 24
"31" "ENSP00000007414" 842 46
"32" "ENSP00000007699" 364 58
"33" "ENSP00000007722" 1066 67
"34" "ENSP00000007735" 404 13
"35" "ENSP00000008391" 452 21
"36" "ENSP00000008527" 586 35
"37" "ENSP00000008938" 196 12
"38" "ENSP00000009041" 234 8
"39" "ENSP00000009105" 476 27
"40" "ENSP00000009530" 296 28
"41" "ENSP00000010299" 341 12
"42" "ENSP00000011292" 419 17
"43" "ENSP00000011473" 259 17
"44" "ENSP00000011619" 729 77
"45" "ENSP00000011653" 458 21
"46" "ENSP00000011898" 239 5
"47" "ENSP00000012049" 382 39
"48" "ENSP00000012443" 499 22
"49" "ENSP00000013070" 425 15
"50" "ENSP00000013125" 846 56
"51" "ENSP00000013222" 263 15
"52" "ENSP00000013807" 323 30
"53" "ENSP00000014914" 357 17
"54" "ENSP00000014930" 189 12
"55" "ENSP00000016171" 410 25
"56" "ENSP00000016913" 267 18
"57" "ENSP00000016946" 1765 75
"58" "ENSP00000017003" 865 68
"59" "ENSP00000019103" 440 18
"60" "ENSP00000019317" 655 37
"61" "ENSP00000020673" 1024 118
"62" "ENSP00000020926" 426 27
"63" "ENSP00000023064" 487 27
"64" "ENSP00000023939" 336 13
"65" "ENSP00000025008" 1594 53
"66" "ENSP00000025301" 1901 90
"67" "ENSP00000026218" 760 66
"68" "ENSP00000027335" 832 53
"69" "ENSP00000029410" 327 22
"70" "ENSP00000033079" 915 42
"71" "ENSP00000035307" 772 56
"72" "ENSP00000035383" 1537 125
"73" "ENSP00000037243" 117 5
"74" "ENSP00000037502" 504 22
"75" "ENSP00000037869" 138 2
"76" "ENSP00000039007" 354 14
"77" "ENSP00000039989" 1141 57
"78" "ENSP00000040584" 242 14
"79" "ENSP00000040663" 369 15
"80" "ENSP00000040738" 3051 160
"81" "ENSP00000040877" 1621 67
